H1,H3,ER1,ER3,TD1,TD3,H2,W,S,EDW,SIGMA,H,FNAME,Z0SE(1_SE),S0SE(1_SE),KBSENB(1_1),KFSENB(1_1),A(1_1)
4.9311,5.5859,3.6964,3.3277,0.013771,0.030565,0.91236,7.5573,30.661,0.17753,5.00E+07,15,SPIMDL00001.TAB,37.715088076002885,1.6010680891307566E8,3.5468702382514645E-5,-7.297761527118443E-15,0.4972894753052379
4.8918,5.3156,4.041,3.8404,0.022008,0.0086,0.53126,7.0378,6.9217,0.73337,5.00E+07,15,SPIMDL00002.TAB,39.83195426749316,1.510345295261795E8,0.019607737852640396,-1.0936124195095889E-12,0.24959125158752643
1.7907,11.523,3.6984,3.3534,0.013859,0.045137,2.0099,3.6964,27.323,0.70775,5.00E+07,15,SPIMDL00003.TAB,35.66392807217331,1.587797772469404E8,3.04970173945018E-4,-2.7974172283329804E-13,0.7059533061771935
2.8595,4.7259,3.9605,3.3981,0.010481,0.018028,0.36547,2.3872,7.2803,0.73521,5.00E+07,15,SPIMDL00004.TAB,59.4564381640838,1.5584435216620013E8,0.010124996047333398,-5.478919676937009E-12,0.3279516726717318
5.5946,8.2553,3.4176,3.3249,0.024434,0.0036631,2.0881,6.3776,20.168,0.053585,5.00E+07,15,SPIMDL00005.TAB,46.082722384737195,1.6331064117103803E8,0.00413630712281971,-4.78790343158453E-13,0.1697596719761776
5.0303,4.2804,4.6453,4.2355,0.028947,0.038731,1.7629,2.4813,12.682,0.14921,5.00E+07,15,SPIMDL00006.TAB,46.77047420166193,1.4297388148100385E8,0.00770116190539263,-1.3865550257435583E-12,0.7703425217423178
5.0568,8.0477,3.2395,3.493,0.030959,0.045732,0.57721,2.9911,3.3295,0.31984,5.00E+07,15,SPIMDL00007.TAB,65.48941572811329,1.6348353006018558E8,0.10703542801610252,-1.5046177391301206E-11,0.7524989073185541
5.1196,7.8491,3.6284,4.4143,0.018285,0.041822,1.2627,7.5546,14.454,0.39628,5.00E+07,15,SPIMDL00008.TAB,37.79457027278413,1.498325082208638E8,0.007532919011251107,5.702261422173477E-12,0.7083846223613515
6.9498,8.6902,3.4358,4.0548,0.024496,0.0049781,1.3058,3.2081,22.752,0.34889,5.00E+07,15,SPIMDL00009.TAB,65.71471681861406,1.5447520093333027E8,0.0038934421020304145,1.8375820224793604E-12,0.20225150245753767
4.7557,9.2937,3.4941,4.5109,0.048989,0.010545,1.5688,4.8321,15.334,0.46463,5.00E+07,15,SPIMDL00010.TAB,47.79502045750794,1.5035599341112542E8,0.009945841866566378,1.164332649466071E-11,0.4093195517730602
1.8793,5.1383,4.1927,4.5113,0.035456,0.020302,0.68659,4.4124,19.241,0.37169,5.00E+07,15,SPIMDL00011.TAB,31.55703432210961,1.442868546631067E8,4.9121052234411206E-5,4.059928374019021E-14,0.5078042808755019
4.0794,5.1975,3.8293,4.6665,0.0036608,0.042628,1.5027,2.4328,20.077,0.59248,5.00E+07,15,SPIMDL00012.TAB,51.44856076716762,1.4488445561757112E8,7.856010192022857E-4,8.455308491308564E-13,0.6778654237877563
4.3102,2.2352,3.7687,3.8342,2.08E-05,0.043125,0.34375,2.6165,17.592,0.52545,5.00E+07,15,SPIMDL00013.TAB,49.323940602436274,1.5362868740433484E8,5.3885085917022144E-5,-6.6783647987936264E-15,0.6363454421409332
2.648,4.4822,3.4368,4.3803,0.034472,0.032196,1.8836,7.5515,21.845,0.42156,5.00E+07,15,SPIMDL00014.TAB,24.8659006757457,1.523693044923188E8,8.554328580989099E-5,2.0858990406748064E-13,0.6391053478698617
6.3277,4.3359,3.8823,4.4989,0.041946,0.043995,2.1957,4.746,21.339,0.1209,5.00E+07,15,SPIMDL00015.TAB,36.517536004196955,1.4512547750252882E8,0.0013345621848449953,-1.506391065252745E-13,1.1739038575956546
6.4258,10.333,4.4459,3.312,0.03904,0.0022823,0.47549,8.6206,13.225,0.4638,5.00E+07,15,SPIMDL00016.TAB,45.645822708423,1.5116270376262748E8,0.013359127689930372,-1.0842741924961152E-11,0.2551357175537574
4.8896,9.7275,4.2086,4.5159,0.0074574,0.045408,2.2723,6.9011,18.606,0.69402,5.00E+07,15,SPIMDL00017.TAB,37.15453798037702,1.4370555327207524E8,0.00591600505327576,2.4473093505331854E-12,0.7379490748426293
3.2536,4.8593,3.6352,4.5787,0.047894,0.041608,1.931,2.34,12.822,0.73663,5.00E+07,15,SPIMDL00018.TAB,46.911037435463186,1.4740364555331764E8,0.004882538863487855,5.961477650910716E-12,0.8579812308508357
2.6899,6.9612,3.8538,3.6298,0.0086744,0.042873,1.7429,6.5466,3.5978,0.53605,5.00E+07,15,SPIMDL00019.TAB,30.589019180271254,1.5459093928712574E8,0.05601500110924068,-1.432629425680493E-11,0.6572375947112314
1.6628,5.5235,4.4858,3.5672,0.0025671,0.01782,1.4118,5.4211,5.8023,0.14325,5.00E+07,15,SPIMDL00020.TAB,25.493221348213392,1.4750130176969215E8,0.01375036682442174,-1.8573414738319226E-11,0.2946045976073177
4.0204,2.5349,3.3596,4.3662,0.020015,0.038964,1.6876,4.2718,34.394,0.64256,5.00E+07,15,SPIMDL00021.TAB,34.00216485915529,1.5020769135369578E8,6.403726998443479E-7,3.590748110765742E-15,0.6775738086712195
6.1032,12.168,4.694,4.3108,0.040418,0.03822,0.68724,8.2829,18.361,0.099064,5.00E+07,15,SPIMDL00022.TAB,40.176813961384326,1.4091236455677384E8,0.00741143533390785,-3.1600563047263546E-12,0.8133684037760938
4.5703,11.399,3.0112,4.3492,0.033932,0.042578,2.2701,7.5535,18.898,0.55283,5.00E+07,15,SPIMDL00023.TAB,38.40012756557981,1.5823084619445658E8,0.007415021872473516,1.5662886973785548E-11,0.7474189109427408
2.7893,5.5786,4.3481,4.33,0.035362,0.047233,1.1225,7.5846,28.363,0.037792,5.00E+07,15,SPIMDL00024.TAB,25.209725658215053,1.4389999555919957E8,1.1254094650569604E-5,-3.001161227426194E-15,0.8942877546275653
1.6602,4.6099,4.5742,4.5033,0.016248,0.049756,2.3896,5.7048,28.069,0.48221,5.00E+07,15,SPIMDL00025.TAB,20.946381013103178,1.406228382832712E8,3.5774582812968793E-6,-2.4583542635839697E-14,0.8630127127548982
3.9967,11.161,3.4841,4.0105,0.036267,0.028762,2.494,8.9511,17.537,0.047347,5.00E+07,15,SPIMDL00026.TAB,31.990101205296593,1.5577313007232073E8,0.007191193241641525,6.2340536377068656E-12,0.5868869875410291
4.7768,7.8909,3.8088,3.9173,0.020822,0.025162,0.41305,6.9729,15.243,0.68936,5.00E+07,15,SPIMDL00027.TAB,43.26503394318491,1.5265098013642842E8,0.003838479050162091,3.1308691244624635E-13,0.48030342928408315
1.6889,9.9329,4.6669,3.1749,0.0489,0.020882,0.46567,3.7188,21.86,0.1309,5.00E+07,15,SPIMDL00028.TAB,35.51357955862504,1.4720703606156284E8,1.892808965569494E-4,-7.633250285083761E-13,0.5834887556740622
4.6833,8.1081,4.537,3.3772,0.0047601,0.033598,0.86555,3.7416,13.133,0.069759,5.00E+07,15,SPIMDL00029.TAB,52.77334855504739,1.5050041436687464E8,0.009629528401191422,-1.1297210948468659E-11,0.5286673025158174
6.5812,7.2532,3.5017,3.8783,0.037187,0.039003,1.6903,8.1491,10.507,0.23044,5.00E+07,15,SPIMDL00030.TAB,38.837729850611915,1.5579452435080567E8,0.023830931554085458,4.171408540149072E-12,0.7267525158780177
2.0496,3.437,3.4057,4.1015,0.012102,0.0067227,1.2806,4.3278,12.678,0.49816,5.00E+07,15,SPIMDL00031.TAB,32.85468185717878,1.5518360892020828E8,4.8700820513608947E-4,6.482906576123679E-13,0.16395925797798153
2.2752,8.957,3.7799,4.2553,0.038145,0.047172,0.45452,5.8753,18.567,0.15667,5.00E+07,15,SPIMDL00032.TAB,31.810572642118174,1.5098887701186532E8,6.559629875813036E-4,7.44940417705348E-13,1.0204845662937518
5.5141,5.3246,4.3532,3.5668,0.028767,0.01189,0.76117,3.7786,9.2383,0.72992,5.00E+07,15,SPIMDL00033.TAB,55.23946757255137,1.5117261188725698E8,0.017200364444541698,-2.6298377245748965E-12,0.3292521336538809
3.5885,7.5877,4.3473,3.5537,0.031201,0.038592,1.5103,7.953,7.2367,0.031097,5.00E+07,15,SPIMDL00034.TAB,30.291402251751485,1.4994480931151074E8,0.0250513599526979,-2.1115632552046414E-11,0.7219565064853913
3.4409,11.677,4.5858,3.1198,0.026288,0.027772,1.0745,7.0417,23.812,0.36606,5.00E+07,15,SPIMDL00035.TAB,36.00412457100356,1.4956945192748645E8,9.079719642583713E-4,-3.071077419167627E-12,0.5510906690110077
4.7251,7.8745,4.0231,3.5037,0.039541,0.015724,1.4838,8.9145,30.138,0.47587,5.00E+07,15,SPIMDL00036.TAB,35.09000926148986,1.5415039930378532E8,1.740868343625251E-4,-1.73501566292223E-13,0.42781954679315054
5.6185,5.2832,4.3427,3.9045,0.0057786,0.03957,1.6197,6.5552,18.584,0.30615,5.00E+07,15,SPIMDL00037.TAB,36.72627180582632,1.4811759496342763E8,0.0018490620190359385,-4.596960887360629E-13,0.6265504312263173
3.0494,10.542,3.6017,3.2557,0.043142,0.0017224,0.85161,3.1373,24.562,0.045609,5.00E+07,15,SPIMDL00038.TAB,54.921169131003175,1.6135653391529498E8,6.291229112648182E-4,-5.299816960362894E-13,0.23357228204654992
6.3115,4.3754,4.3288,3.0391,0.048047,0.013,1.6834,4.3697,32.27,0.46786,5.00E+07,15,SPIMDL00039.TAB,43.115042772353,1.5922127631309474E8,6.246451767341415E-5,1.8118535923180325E-14,0.596799043023428
4.5135,11.529,3.2794,4.3084,0.039677,0.027497,1.6425,2.2389,23.549,0.16461,5.00E+07,15,SPIMDL00040.TAB,61.03318641117179,1.540228622827777E8,0.003621879624121061,6.521305721923892E-12,0.6231532518831946
3.0216,5.2191,4.5682,3.2669,0.031192,0.036917,1.8601,6.4529,13.622,0.4675,5.00E+07,15,SPIMDL00041.TAB,29.693064262084484,1.508612848811899E8,0.002046252674000158,-4.501571125982299E-12,0.6952431899850987
2.3839,3.2833,4.3696,4.4063,0.048213,0.012169,1.4589,5.4329,3.9468,0.29748,5.00E+07,15,SPIMDL00042.TAB,26.265715000560675,1.4311575070636603E8,0.028887067599045017,3.2137801917397485E-13,0.5028182862473618
1.7618,10.375,3.2404,3.1411,0.024861,0.033843,2.3347,7.231,27.834,0.59562,5.00E+07,15,SPIMDL00043.TAB,25.271932842141915,1.673800959744006E8,1.8391627185078386E-4,-1.0450344629309948E-13,0.5624479388415554
4.3349,9.5933,3.468,4.5292,0.034325,0.023986,2.3158,6.5408,26.34,0.65835,5.00E+07,15,SPIMDL00044.TAB,40.156320527424505,1.5085047386566228E8,0.0012640194229646285,2.562791424319736E-12,0.7615409489420535
2.9184,2.3733,4.1252,3.302,0.01,0.021735,0.78692,3.147,6.0297,0.58212,5.00E+07,15,SPIMDL00045.TAB,42.062160858873256,1.5671351046358886E8,0.00786922795462358,-1.1422157863820898E-12,0.5812040752882525
2.6385,7.5542,4.6119,3.505,0.019138,0.047536,2.0836,6.1734,4.7038,0.52251,5.00E+07,15,SPIMDL00046.TAB,29.219536592153503,1.4724474874967185E8,0.04365438387919549,-5.347749102664286E-11,0.8030707104269296
